video_id,true_label,pred_label
42920,Swiping Left,Sliding Two Fingers Left
12912,Sliding Two Fingers Right,Sliding Two Fingers Left
35341,Zooming In With Full Hand,Zooming Out With Full Hand
94928,Swiping Right,Sliding Two Fingers Right
117498,Swiping Left,No gesture
33245,Pulling Two Fingers In,Swiping Right
31863,Sliding Two Fingers Down,Swiping Left
81336,Zooming In With Full Hand,Swiping Down
44353,Doing other things,Zooming In With Two Fingers
140793,Sliding Two Fingers Left,Sliding Two Fingers Right
101162,Zooming Out With Full Hand,Shaking Hand
52721,Swiping Right,Sliding Two Fingers Left
139559,Sliding Two Fingers Up,Stop Sign
30370,Sliding Two Fingers Up,Swiping Right
85466,Zooming In With Full Hand,Zooming Out With Full Hand
4983,Sliding Two Fingers Up,Pushing Two Fingers Away
112463,Sliding Two Fingers Left,Zooming Out With Two Fingers
58028,Rolling Hand Backward,Rolling Hand Forward
54598,Swiping Down,Pushing Hand Away
130629,Turning Hand Counterclockwise,Pulling Two Fingers In
30228,No gesture,Sliding Two Fingers Up
7565,No gesture,Doing other things
37527,Swiping Down,Drumming Fingers
79085,Thumb Up,Sliding Two Fingers Left
45131,Zooming In With Full Hand,Zooming Out With Full Hand
18103,Sliding Two Fingers Right,Sliding Two Fingers Left
18118,Zooming In With Two Fingers,Zooming Out With Two Fingers
142471,Sliding Two Fingers Up,Swiping Left
38895,Sliding Two Fingers Down,Thumb Down
125044,Swiping Left,Doing other things
133518,Pulling Two Fingers In,No gesture
142576,Doing other things,Sliding Two Fingers Down
122427,Zooming In With Two Fingers,Zooming Out With Two Fingers
79761,Zooming Out With Two Fingers,Doing other things
1440,Swiping Down,Rolling Hand Backward
99155,Sliding Two Fingers Down,Thumb Up
10131,Pushing Two Fingers Away,Thumb Up
115054,Sliding Two Fingers Left,Swiping Left
111555,Turning Hand Clockwise,Zooming In With Full Hand
137713,Turning Hand Counterclockwise,Turning Hand Clockwise
136106,Rolling Hand Forward,Rolling Hand Backward
26115,Pulling Hand In,Pulling Two Fingers In
58359,Swiping Left,Swiping Right
116249,Rolling Hand Backward,Rolling Hand Forward
12291,Rolling Hand Backward,Rolling Hand Forward
99641,Swiping Left,Pushing Hand Away
58887,Rolling Hand Forward,Rolling Hand Backward
98082,Pulling Hand In,Doing other things
33570,Swiping Left,Swiping Right
63311,Swiping Left,Thumb Up
134211,Zooming In With Two Fingers,Zooming Out With Two Fingers
102191,Zooming In With Two Fingers,Zooming Out With Two Fingers
121413,Zooming Out With Two Fingers,Drumming Fingers
45990,Swiping Down,Thumb Down
99963,Sliding Two Fingers Down,No gesture
76867,Doing other things,Rolling Hand Forward
116328,Sliding Two Fingers Right,Sliding Two Fingers Left
44901,Zooming Out With Two Fingers,Zooming In With Two Fingers
37485,Stop Sign,Pushing Hand Away
8596,Sliding Two Fingers Up,Pushing Two Fingers Away
72639,Shaking Hand,Turning Hand Clockwise
21351,No gesture,Doing other things
124399,Swiping Down,Swiping Right
81606,Rolling Hand Forward,Rolling Hand Backward
88311,Pushing Two Fingers Away,Zooming Out With Two Fingers
77268,Sliding Two Fingers Up,Drumming Fingers
70145,Zooming In With Full Hand,Zooming Out With Full Hand
59658,Sliding Two Fingers Down,Sliding Two Fingers Up
25916,Zooming Out With Full Hand,Turning Hand Counterclockwise
26695,Stop Sign,Pushing Hand Away
87413,Swiping Right,Doing other things
124970,Pulling Hand In,Turning Hand Clockwise
36825,Rolling Hand Backward,Rolling Hand Forward
50718,Sliding Two Fingers Left,Swiping Right
44728,Stop Sign,Doing other things
117728,Doing other things,Pulling Two Fingers In
98981,Sliding Two Fingers Down,Doing other things
7914,Pulling Two Fingers In,Doing other things
89416,No gesture,Doing other things
5740,Rolling Hand Forward,Rolling Hand Backward
25763,Drumming Fingers,Sliding Two Fingers Right
15440,Sliding Two Fingers Down,Sliding Two Fingers Up
3905,Rolling Hand Forward,Rolling Hand Backward
62001,Thumb Up,Sliding Two Fingers Left
94885,Doing other things,Swiping Down
63974,Pushing Two Fingers Away,Swiping Right
441,Sliding Two Fingers Up,Rolling Hand Forward
72447,Sliding Two Fingers Left,Rolling Hand Backward
31365,Drumming Fingers,Sliding Two Fingers Up
87018,Sliding Two Fingers Right,No gesture
58113,Sliding Two Fingers Up,Thumb Down
69666,Turning Hand Counterclockwise,Swiping Up
110921,Pushing Hand Away,Pulling Two Fingers In
82097,Doing other things,Zooming In With Full Hand
86291,Zooming In With Full Hand,Zooming Out With Full Hand
57774,Turning Hand Clockwise,Turning Hand Counterclockwise
92863,No gesture,Swiping Down
9199,Pushing Hand Away,Stop Sign
80593,Turning Hand Clockwise,Swiping Left
140797,Sliding Two Fingers Down,Sliding Two Fingers Up
83263,Swiping Left,Pulling Two Fingers In
38358,Zooming In With Two Fingers,Swiping Left
124240,Swiping Right,No gesture
27826,Doing other things,Thumb Down
147804,Stop Sign,Pushing Hand Away
48742,Shaking Hand,Swiping Up
25868,Doing other things,Pulling Two Fingers In
79219,Swiping Down,Drumming Fingers
34632,Sliding Two Fingers Left,Sliding Two Fingers Right
18189,Sliding Two Fingers Left,No gesture
146323,Swiping Down,No gesture
119487,Stop Sign,Pushing Hand Away
115566,Turning Hand Counterclockwise,Pulling Hand In
19239,Sliding Two Fingers Down,Swiping Up
92337,Zooming In With Full Hand,Swiping Down
107679,Turning Hand Counterclockwise,Turning Hand Clockwise
93736,Sliding Two Fingers Up,No gesture
136831,Zooming Out With Full Hand,Zooming In With Full Hand
85691,Sliding Two Fingers Up,Swiping Down
81236,Sliding Two Fingers Right,No gesture
10711,Shaking Hand,Swiping Right
115445,Swiping Up,Doing other things
17425,No gesture,Swiping Right
53886,Pushing Two Fingers Away,Thumb Up
129343,Pulling Hand In,Sliding Two Fingers Right
75099,Sliding Two Fingers Up,Swiping Down
38691,Zooming Out With Two Fingers,Thumb Up
61688,Drumming Fingers,Swiping Up
72158,Swiping Up,Doing other things
22716,Sliding Two Fingers Down,No gesture
53329,Zooming Out With Two Fingers,Zooming In With Two Fingers
84713,Swiping Right,Swiping Left
109233,Turning Hand Clockwise,Turning Hand Counterclockwise
121447,Doing other things,No gesture
135588,Stop Sign,Pushing Hand Away
136312,Zooming In With Two Fingers,Zooming Out With Two Fingers
75270,Stop Sign,Pushing Hand Away
84608,Zooming Out With Two Fingers,Zooming In With Two Fingers
22343,Sliding Two Fingers Right,No gesture
20131,Zooming In With Full Hand,Zooming Out With Full Hand
144476,Shaking Hand,Rolling Hand Backward
44708,Doing other things,No gesture
146962,Pulling Hand In,Swiping Up
3165,Sliding Two Fingers Up,Shaking Hand
71164,Stop Sign,Pushing Hand Away
85286,Turning Hand Counterclockwise,Turning Hand Clockwise
14148,Sliding Two Fingers Right,Swiping Left
140579,Sliding Two Fingers Up,Zooming In With Full Hand
6175,Sliding Two Fingers Right,Sliding Two Fingers Left
25476,Swiping Down,No gesture
14691,Thumb Up,Swiping Left
70573,Shaking Hand,Turning Hand Clockwise
27690,Doing other things,Turning Hand Counterclockwise
74601,Sliding Two Fingers Left,Doing other things
62733,Sliding Two Fingers Down,Pulling Two Fingers In
116605,Shaking Hand,No gesture
72339,Shaking Hand,Zooming Out With Full Hand
54677,Swiping Left,Swiping Right
48450,Rolling Hand Forward,Rolling Hand Backward
146423,Shaking Hand,Swiping Left
22486,Zooming In With Two Fingers,Zooming Out With Two Fingers
48740,Pushing Two Fingers Away,Swiping Up
45311,Swiping Down,Doing other things
119690,Doing other things,Pulling Hand In
65893,No gesture,Sliding Two Fingers Right
109314,Zooming Out With Full Hand,Zooming In With Full Hand
40720,Swiping Left,No gesture
12023,Zooming Out With Two Fingers,Zooming In With Two Fingers
16606,No gesture,Swiping Up
134098,Sliding Two Fingers Down,Sliding Two Fingers Up
100939,Doing other things,No gesture
80523,Sliding Two Fingers Right,Sliding Two Fingers Left
134744,Doing other things,Swiping Left
137535,No gesture,Swiping Right
40743,Sliding Two Fingers Left,Zooming In With Full Hand
18552,Sliding Two Fingers Up,Sliding Two Fingers Down
99774,Rolling Hand Forward,Rolling Hand Backward
143300,Rolling Hand Backward,Rolling Hand Forward
44810,Shaking Hand,Pushing Hand Away
137190,Pulling Two Fingers In,Turning Hand Clockwise
47827,Swiping Up,Rolling Hand Backward
6654,Rolling Hand Backward,Rolling Hand Forward
12119,Turning Hand Clockwise,Turning Hand Counterclockwise
80803,Zooming Out With Full Hand,Zooming In With Full Hand
62586,Thumb Up,Sliding Two Fingers Right
28417,Rolling Hand Forward,Rolling Hand Backward
145203,Swiping Right,Swiping Left
26237,Pulling Hand In,Swiping Up
18181,Zooming Out With Two Fingers,Sliding Two Fingers Up
64067,Swiping Down,Doing other things
39823,Turning Hand Counterclockwise,Pulling Hand In
58273,Doing other things,Zooming In With Full Hand
37325,Pulling Hand In,Doing other things
36638,Swiping Up,Pulling Hand In
99623,Swiping Left,Swiping Right
74350,Doing other things,Sliding Two Fingers Right
75981,Sliding Two Fingers Right,Sliding Two Fingers Left
97532,Swiping Down,Sliding Two Fingers Down
127972,Doing other things,Swiping Right
142081,Sliding Two Fingers Down,Sliding Two Fingers Up
144564,No gesture,Pulling Two Fingers In
115634,Doing other things,Thumb Up
83206,Sliding Two Fingers Up,Zooming In With Two Fingers
123973,No gesture,Sliding Two Fingers Down
49627,Turning Hand Counterclockwise,Shaking Hand
117790,Thumb Down,Zooming Out With Two Fingers
61033,Sliding Two Fingers Down,Doing other things
98027,Zooming Out With Full Hand,Zooming In With Full Hand
69084,Turning Hand Clockwise,Turning Hand Counterclockwise
25538,Turning Hand Counterclockwise,Turning Hand Clockwise
14996,Sliding Two Fingers Left,Doing other things
21114,Swiping Right,Pushing Two Fingers Away
38720,Sliding Two Fingers Down,Pushing Two Fingers Away
47874,Zooming In With Full Hand,Shaking Hand
82661,Zooming In With Two Fingers,Zooming In With Full Hand
84339,Doing other things,Sliding Two Fingers Right
85041,Rolling Hand Backward,Swiping Down
7490,Stop Sign,Pulling Hand In
31455,Sliding Two Fingers Right,Sliding Two Fingers Left
15022,Swiping Down,Pulling Two Fingers In
53694,Turning Hand Clockwise,Turning Hand Counterclockwise
130735,No gesture,Doing other things
26664,Rolling Hand Forward,Rolling Hand Backward
120014,Stop Sign,Swiping Down
81037,Zooming Out With Two Fingers,Sliding Two Fingers Up
9024,Swiping Down,Rolling Hand Backward
137453,Turning Hand Counterclockwise,Turning Hand Clockwise
38264,Zooming In With Full Hand,Zooming In With Two Fingers
84735,Pushing Two Fingers Away,Sliding Two Fingers Right
72148,Pulling Hand In,Pulling Two Fingers In
115635,Zooming In With Two Fingers,Zooming Out With Two Fingers
93290,Rolling Hand Backward,Thumb Down
10513,Doing other things,Swiping Right
76025,Turning Hand Clockwise,Turning Hand Counterclockwise
26109,Pushing Two Fingers Away,Doing other things
85642,Swiping Left,Swiping Right
119689,Swiping Up,No gesture
128664,Zooming In With Two Fingers,Sliding Two Fingers Right
115040,Thumb Down,Swiping Down
103012,Doing other things,Pulling Two Fingers In
8691,Sliding Two Fingers Left,Swiping Left
43301,Zooming In With Full Hand,Zooming Out With Full Hand
122056,Stop Sign,Pushing Hand Away
51191,Swiping Down,Zooming Out With Full Hand
122201,Stop Sign,Shaking Hand
50491,Pushing Two Fingers Away,Thumb Up
6036,Sliding Two Fingers Up,Sliding Two Fingers Down
90190,Swiping Down,Drumming Fingers
78871,Rolling Hand Forward,Rolling Hand Backward
139169,Pulling Hand In,Pulling Two Fingers In
80032,Turning Hand Counterclockwise,Zooming Out With Full Hand
109174,Swiping Up,Pulling Hand In
60897,Zooming In With Two Fingers,Doing other things
122729,Turning Hand Clockwise,Shaking Hand
39872,Sliding Two Fingers Left,Swiping Up
80435,Zooming In With Full Hand,Shaking Hand
124971,No gesture,Thumb Up
56090,Sliding Two Fingers Left,Thumb Up
146868,Stop Sign,Pushing Hand Away
131004,Rolling Hand Forward,Doing other things
73850,Zooming Out With Two Fingers,Zooming In With Two Fingers
105470,Thumb Up,Doing other things
95646,Sliding Two Fingers Up,Pushing Two Fingers Away
64435,Zooming In With Two Fingers,Pushing Two Fingers Away
146217,Swiping Left,Zooming Out With Two Fingers
10892,Sliding Two Fingers Left,Sliding Two Fingers Right
98544,Drumming Fingers,Shaking Hand
111703,Pushing Two Fingers Away,Thumb Up
138255,Zooming Out With Full Hand,Zooming In With Full Hand
45072,Zooming In With Two Fingers,Zooming Out With Two Fingers
41606,Rolling Hand Backward,Rolling Hand Forward
98896,Thumb Down,Sliding Two Fingers Down
3596,Sliding Two Fingers Left,Swiping Left
71804,Swiping Left,Pushing Hand Away
140799,Pushing Two Fingers Away,Doing other things
118653,Pushing Two Fingers Away,Pushing Hand Away
145874,Swiping Up,Doing other things
132927,Zooming In With Full Hand,Zooming Out With Full Hand
122053,Zooming Out With Full Hand,Zooming In With Full Hand
27821,Zooming In With Full Hand,Turning Hand Counterclockwise
17467,Zooming In With Full Hand,Shaking Hand
106749,Thumb Up,Doing other things
43567,Doing other things,Drumming Fingers
29446,Sliding Two Fingers Down,Swiping Up
143458,Pulling Hand In,Zooming Out With Full Hand
40855,Rolling Hand Forward,Rolling Hand Backward
66468,Swiping Down,Pushing Two Fingers Away
123461,Sliding Two Fingers Left,Sliding Two Fingers Right
38349,Swiping Left,No gesture
76640,Sliding Two Fingers Left,Sliding Two Fingers Right
120463,Swiping Up,Sliding Two Fingers Up
45966,Pushing Hand Away,Stop Sign
132526,Pulling Hand In,Doing other things
79131,Sliding Two Fingers Left,Doing other things
139734,Swiping Left,Zooming In With Full Hand
97038,Sliding Two Fingers Up,Sliding Two Fingers Down
132110,Pulling Two Fingers In,Thumb Up
49824,Sliding Two Fingers Left,Sliding Two Fingers Right
132754,Thumb Up,Doing other things
106703,Pulling Two Fingers In,No gesture
66889,Rolling Hand Backward,Rolling Hand Forward
3567,Doing other things,No gesture
61897,Pulling Two Fingers In,Doing other things
40498,Rolling Hand Forward,Pushing Two Fingers Away
48379,Stop Sign,Zooming In With Full Hand
12469,Swiping Left,Swiping Right
114622,No gesture,Doing other things
143849,Swiping Right,Doing other things
88590,Zooming Out With Two Fingers,Turning Hand Clockwise
75827,Stop Sign,Sliding Two Fingers Up
50931,Sliding Two Fingers Down,Swiping Down
109377,Doing other things,Thumb Down
15270,Swiping Up,Pulling Hand In
87293,Turning Hand Counterclockwise,Turning Hand Clockwise
26374,Zooming In With Two Fingers,Zooming Out With Two Fingers
7528,Rolling Hand Forward,Sliding Two Fingers Down
75410,Turning Hand Clockwise,Turning Hand Counterclockwise
37197,Swiping Right,Sliding Two Fingers Up
129113,Doing other things,Sliding Two Fingers Down
58450,Doing other things,Turning Hand Counterclockwise
64482,Pushing Hand Away,Sliding Two Fingers Left
49882,Zooming Out With Two Fingers,Zooming In With Two Fingers
110888,Doing other things,Turning Hand Clockwise
31343,Pulling Two Fingers In,Pulling Hand In
5767,Shaking Hand,Zooming In With Full Hand
117978,Thumb Up,Doing other things
143182,Rolling Hand Forward,Rolling Hand Backward
25172,Sliding Two Fingers Left,Doing other things
92948,Turning Hand Clockwise,Doing other things
73595,Swiping Left,Swiping Right
92410,Zooming Out With Full Hand,Thumb Down
10958,Swiping Down,Drumming Fingers
28665,Pulling Hand In,Swiping Up
36080,Zooming In With Full Hand,Zooming Out With Full Hand
137985,Doing other things,Swiping Right
66073,Sliding Two Fingers Down,Pushing Two Fingers Away
88064,Pulling Hand In,Shaking Hand
67641,Swiping Down,Doing other things
30276,Pushing Hand Away,Stop Sign
95521,Zooming Out With Full Hand,Turning Hand Counterclockwise
63013,Shaking Hand,Swiping Up
89586,Sliding Two Fingers Up,Sliding Two Fingers Down
45417,Zooming In With Two Fingers,Zooming Out With Two Fingers
14596,Swiping Left,Sliding Two Fingers Left
4228,Rolling Hand Backward,Rolling Hand Forward
65873,Sliding Two Fingers Left,Sliding Two Fingers Right
97014,Swiping Left,Swiping Right
54213,Pulling Hand In,Pulling Two Fingers In
133223,Turning Hand Clockwise,Doing other things
88153,Swiping Down,Rolling Hand Backward
128552,Shaking Hand,Swiping Left
73426,Pushing Two Fingers Away,Zooming Out With Two Fingers
5937,Pushing Two Fingers Away,No gesture
135203,Pulling Hand In,Swiping Down
93551,Sliding Two Fingers Left,Doing other things
22423,Turning Hand Clockwise,Turning Hand Counterclockwise
132123,Swiping Left,Swiping Right
66231,Zooming In With Full Hand,Zooming Out With Two Fingers
122577,Sliding Two Fingers Up,Pushing Two Fingers Away
34915,No gesture,Swiping Right
4211,Swiping Left,Swiping Right
99735,Swiping Left,Thumb Up
84458,Swiping Down,Doing other things
59353,Sliding Two Fingers Up,Doing other things
37698,Thumb Down,Doing other things
4208,Thumb Down,Pushing Two Fingers Away
69170,Drumming Fingers,Sliding Two Fingers Up
68420,Rolling Hand Forward,Rolling Hand Backward
85523,Zooming In With Two Fingers,Zooming Out With Two Fingers
14367,Swiping Right,Turning Hand Clockwise
39753,Rolling Hand Backward,Swiping Down
138680,Pushing Hand Away,Sliding Two Fingers Down
130649,Swiping Up,Shaking Hand
113546,Zooming In With Two Fingers,Doing other things
60154,Zooming In With Two Fingers,Zooming In With Full Hand
78082,Swiping Down,Rolling Hand Forward
37302,Swiping Down,No gesture
104083,Stop Sign,Pushing Hand Away
57805,Doing other things,Swiping Up
97894,Pulling Hand In,No gesture
79864,Stop Sign,Swiping Up
42806,Pulling Two Fingers In,Swiping Right
74469,Stop Sign,Swiping Down
88856,Sliding Two Fingers Right,Sliding Two Fingers Left
121434,Sliding Two Fingers Down,Shaking Hand
110356,Doing other things,Swiping Right
7930,Zooming Out With Full Hand,Doing other things
115802,Pulling Two Fingers In,Doing other things
11094,Doing other things,Thumb Down
31095,Pushing Hand Away,Stop Sign
40989,Zooming Out With Full Hand,Swiping Down
114401,Pulling Hand In,Doing other things
44607,Sliding Two Fingers Left,Swiping Right
110969,Zooming Out With Full Hand,Zooming In With Two Fingers
126889,Doing other things,Rolling Hand Forward
7144,Sliding Two Fingers Down,Doing other things
38117,Sliding Two Fingers Down,Swiping Up
107224,Rolling Hand Forward,Rolling Hand Backward
131882,Zooming In With Two Fingers,Zooming Out With Two Fingers
112675,Swiping Left,Sliding Two Fingers Left
118364,Swiping Right,Sliding Two Fingers Left
123484,Sliding Two Fingers Up,Swiping Down
104196,Swiping Left,No gesture
117323,Thumb Down,Swiping Down
13820,Pulling Two Fingers In,Pulling Hand In
128876,Sliding Two Fingers Right,Swiping Right
99208,Swiping Down,Drumming Fingers
7450,Rolling Hand Backward,Rolling Hand Forward
93990,Zooming In With Full Hand,Zooming Out With Full Hand
119502,No gesture,Zooming Out With Two Fingers
142421,Shaking Hand,Swiping Down
27865,Sliding Two Fingers Left,Zooming Out With Full Hand
