video_id,true_label,pred_label
94928,Swiping Right,No gesture
31863,Sliding Two Fingers Down,Swiping Down
30370,Sliding Two Fingers Up,No gesture
54598,Swiping Down,Pushing Hand Away
57864,Pushing Hand Away,Stop Sign
130629,Turning Hand Counterclockwise,Pulling Two Fingers In
85961,Turning Hand Counterclockwise,Turning Hand Clockwise
63575,Doing other things,Sliding Two Fingers Up
37527,Swiping Down,Drumming Fingers
84457,Swiping Right,Sliding Two Fingers Right
142471,Sliding Two Fingers Up,Sliding Two Fingers Down
125044,Swiping Left,Sliding Two Fingers Left
142576,Doing other things,Zooming In With Two Fingers
89648,Swiping Up,Pulling Hand In
22858,Turning Hand Counterclockwise,Turning Hand Clockwise
99155,Sliding Two Fingers Down,No gesture
137713,Turning Hand Counterclockwise,Turning Hand Clockwise
103872,Doing other things,No gesture
116249,Rolling Hand Backward,Rolling Hand Forward
60252,Pushing Hand Away,Swiping Down
37485,Stop Sign,Pushing Hand Away
72639,Shaking Hand,Turning Hand Counterclockwise
36110,Drumming Fingers,Zooming In With Full Hand
50718,Sliding Two Fingers Left,Swiping Left
44728,Stop Sign,Swiping Down
98981,Sliding Two Fingers Down,Doing other things
62001,Thumb Up,Sliding Two Fingers Right
94885,Doing other things,No gesture
72447,Sliding Two Fingers Left,No gesture
87018,Sliding Two Fingers Right,Sliding Two Fingers Left
69666,Turning Hand Counterclockwise,Pulling Hand In
82097,Doing other things,Zooming In With Full Hand
80593,Turning Hand Clockwise,Turning Hand Counterclockwise
27826,Doing other things,Thumb Down
147804,Stop Sign,Pushing Hand Away
146323,Swiping Down,Pushing Hand Away
115566,Turning Hand Counterclockwise,Pulling Hand In
10711,Shaking Hand,Zooming In With Two Fingers
53886,Pushing Two Fingers Away,No gesture
38691,Zooming Out With Two Fingers,Zooming In With Two Fingers
22716,Sliding Two Fingers Down,No gesture
84713,Swiping Right,Zooming In With Full Hand
121447,Doing other things,No gesture
135588,Stop Sign,Pushing Hand Away
144476,Shaking Hand,Thumb Down
44708,Doing other things,No gesture
3165,Sliding Two Fingers Up,Swiping Up
85286,Turning Hand Counterclockwise,Zooming In With Full Hand
140579,Sliding Two Fingers Up,Drumming Fingers
14691,Thumb Up,Sliding Two Fingers Right
70573,Shaking Hand,Turning Hand Clockwise
40822,Doing other things,Zooming Out With Full Hand
74601,Sliding Two Fingers Left,Swiping Left
62733,Sliding Two Fingers Down,Sliding Two Fingers Right
146423,Shaking Hand,Sliding Two Fingers Down
48740,Pushing Two Fingers Away,Sliding Two Fingers Up
85885,Turning Hand Clockwise,Turning Hand Counterclockwise
119690,Doing other things,Rolling Hand Backward
80523,Sliding Two Fingers Right,Sliding Two Fingers Left
137190,Pulling Two Fingers In,Pulling Hand In
47827,Swiping Up,Rolling Hand Backward
18181,Zooming Out With Two Fingers,Sliding Two Fingers Down
69457,Pulling Two Fingers In,Pulling Hand In
111477,Swiping Right,Sliding Two Fingers Right
74350,Doing other things,Turning Hand Clockwise
127972,Doing other things,Shaking Hand
115634,Doing other things,Shaking Hand
25538,Turning Hand Counterclockwise,Turning Hand Clockwise
21114,Swiping Right,Sliding Two Fingers Right
47874,Zooming In With Full Hand,Turning Hand Clockwise
82661,Zooming In With Two Fingers,Zooming Out With Two Fingers
81037,Zooming Out With Two Fingers,Sliding Two Fingers Down
137453,Turning Hand Counterclockwise,Turning Hand Clockwise
84735,Pushing Two Fingers Away,Doing other things
115635,Zooming In With Two Fingers,Zooming Out With Two Fingers
10513,Doing other things,Zooming Out With Two Fingers
85642,Swiping Left,Sliding Two Fingers Right
119689,Swiping Up,Pulling Hand In
128664,Zooming In With Two Fingers,Sliding Two Fingers Right
115040,Thumb Down,Swiping Left
103012,Doing other things,Pulling Two Fingers In
122056,Stop Sign,Pushing Hand Away
122201,Stop Sign,Shaking Hand
78871,Rolling Hand Forward,Rolling Hand Backward
60897,Zooming In With Two Fingers,Sliding Two Fingers Right
122729,Turning Hand Clockwise,Turning Hand Counterclockwise
39872,Sliding Two Fingers Left,Thumb Up
101586,Doing other things,No gesture
56090,Sliding Two Fingers Left,Swiping Left
74154,Sliding Two Fingers Left,Swiping Left
105470,Thumb Up,Doing other things
103393,Zooming Out With Full Hand,Zooming Out With Two Fingers
138255,Zooming Out With Full Hand,Sliding Two Fingers Left
98896,Thumb Down,Sliding Two Fingers Up
118653,Pushing Two Fingers Away,Sliding Two Fingers Down
54670,Swiping Right,No gesture
106749,Thumb Up,Doing other things
38349,Swiping Left,Swiping Right
120463,Swiping Up,Swiping Down
132526,Pulling Hand In,Swiping Right
132110,Pulling Two Fingers In,Sliding Two Fingers Up
49824,Sliding Two Fingers Left,Swiping Left
132754,Thumb Up,Swiping Down
37581,Pushing Two Fingers Away,Sliding Two Fingers Up
3567,Doing other things,No gesture
40498,Rolling Hand Forward,Rolling Hand Backward
88590,Zooming Out With Two Fingers,Zooming Out With Full Hand
75410,Turning Hand Clockwise,Turning Hand Counterclockwise
37197,Swiping Right,No gesture
58450,Doing other things,Turning Hand Clockwise
110888,Doing other things,Sliding Two Fingers Right
5767,Shaking Hand,Turning Hand Counterclockwise
92948,Turning Hand Clockwise,Shaking Hand
92410,Zooming Out With Full Hand,Thumb Down
137985,Doing other things,Rolling Hand Forward
14596,Swiping Left,Sliding Two Fingers Left
133223,Turning Hand Clockwise,Turning Hand Counterclockwise
122577,Sliding Two Fingers Up,Pushing Two Fingers Away
84458,Swiping Down,Swiping Right
113546,Zooming In With Two Fingers,No gesture
60154,Zooming In With Two Fingers,Zooming In With Full Hand
114401,Pulling Hand In,Pulling Two Fingers In
7144,Sliding Two Fingers Down,Doing other things
27865,Sliding Two Fingers Left,Swiping Left
31051,Doing other things,Swiping Left
38641,Doing other things,No gesture
14054,Doing other things,Shaking Hand
70501,Zooming Out With Full Hand,Zooming Out With Two Fingers
94367,Pushing Hand Away,No gesture
30068,Rolling Hand Backward,Rolling Hand Forward
134232,Shaking Hand,Swiping Down
10186,Stop Sign,Shaking Hand
39020,Swiping Right,Sliding Two Fingers Right
69363,Pushing Hand Away,Shaking Hand
128022,Doing other things,Rolling Hand Forward
145096,Shaking Hand,Drumming Fingers
104517,Pulling Two Fingers In,No gesture
78116,Doing other things,Zooming Out With Full Hand
42114,Sliding Two Fingers Right,Swiping Right
58951,Sliding Two Fingers Left,Thumb Down
139507,Swiping Right,Swiping Left
113980,Zooming In With Full Hand,Zooming In With Two Fingers
1381,Doing other things,No gesture
2052,Swiping Left,Sliding Two Fingers Left
48716,Pulling Hand In,Pushing Hand Away
132231,Doing other things,Swiping Up
141034,Swiping Down,Pushing Hand Away
41601,Pulling Hand In,Swiping Up
28813,Shaking Hand,Turning Hand Counterclockwise
98884,Drumming Fingers,Sliding Two Fingers Left
90094,Zooming Out With Two Fingers,Zooming In With Two Fingers
102986,Doing other things,Turning Hand Clockwise
82268,Zooming In With Two Fingers,Zooming Out With Two Fingers
25781,Turning Hand Clockwise,Turning Hand Counterclockwise
28794,Swiping Down,Sliding Two Fingers Up
103660,Swiping Left,Swiping Right
46460,Pulling Two Fingers In,Pushing Two Fingers Away
135700,Sliding Two Fingers Up,Swiping Up
118689,Swiping Left,Sliding Two Fingers Left
36349,Turning Hand Clockwise,Turning Hand Counterclockwise
124323,Shaking Hand,Swiping Right
138451,Thumb Up,Sliding Two Fingers Up
137368,Swiping Down,No gesture
134301,Swiping Left,Sliding Two Fingers Right
143492,Sliding Two Fingers Up,Zooming In With Two Fingers
1723,Turning Hand Clockwise,Turning Hand Counterclockwise
139414,No gesture,Doing other things
119325,Zooming Out With Two Fingers,Zooming In With Two Fingers
5021,Turning Hand Clockwise,Turning Hand Counterclockwise
18215,No gesture,Doing other things
44350,Zooming In With Two Fingers,Zooming Out With Two Fingers
58290,Sliding Two Fingers Up,Sliding Two Fingers Down
66611,Sliding Two Fingers Left,Swiping Left
69583,Swiping Up,Doing other things
63838,Drumming Fingers,Sliding Two Fingers Left
26423,Shaking Hand,Turning Hand Counterclockwise
114078,Sliding Two Fingers Right,No gesture
135249,Swiping Right,Sliding Two Fingers Right
131260,Doing other things,Thumb Down
1721,Sliding Two Fingers Right,Swiping Right
51137,Doing other things,No gesture
2486,Sliding Two Fingers Down,Doing other things
71502,Shaking Hand,Zooming In With Full Hand
98346,Doing other things,Thumb Down
20885,Swiping Right,Sliding Two Fingers Left
35469,Swiping Right,No gesture
5728,Pushing Two Fingers Away,Pulling Two Fingers In
126802,Zooming In With Two Fingers,Zooming In With Full Hand
38245,Zooming In With Full Hand,Turning Hand Counterclockwise
108114,Pulling Two Fingers In,No gesture
51276,Zooming In With Two Fingers,Zooming Out With Two Fingers
33358,Pushing Two Fingers Away,Swiping Left
113210,Rolling Hand Backward,Rolling Hand Forward
43317,Doing other things,Thumb Down
4252,Turning Hand Counterclockwise,Turning Hand Clockwise
134969,Zooming In With Full Hand,Zooming In With Two Fingers
57652,Sliding Two Fingers Down,Pushing Two Fingers Away
95303,Pushing Two Fingers Away,Rolling Hand Forward
107374,Sliding Two Fingers Right,Sliding Two Fingers Left
44531,Rolling Hand Forward,Rolling Hand Backward
62706,Turning Hand Clockwise,Turning Hand Counterclockwise
